Trans. Date,Post Date,Description,Amount,Category
11/28/2024,11/28/2024,DELTA AIR LINES,285.14,Travel/Entertainment
12/01/2024,12/01/2024,TARGET T-2201,93.85,Merchandise
12/04/2024,12/04/2024,DELTA AIR LINES,197.55,Travel/Entertainment
12/04/2024,12/04/2024,DOORDASH*THAI,43.05,Restaurants
12/04/2024,12/04/2024,SAFEWAY #1834,73.58,Supermarkets
12/07/2024,12/07/2024,DELTA AIR LINES,418.84,Travel/Entertainment
12/08/2024,12/08/2024,DOORDASH*THAI,39.91,Restaurants
12/09/2024,12/09/2024,COMCAST CABLE,79.00,Services
12/09/2024,12/09/2024,DOORDASH*THAI,35.59,Restaurants
12/15/2024,12/15/2024,PAYMENT - THANK YOU,-450.54,Payment
12/16/2024,12/16/2024,COMCAST CABLE,79.00,Services
12/17/2024,12/17/2024,TARGET T-2201,148.30,Merchandise
12/18/2024,12/18/2024,DELTA AIR LINES,280.23,Travel/Entertainment
12/21/2024,12/21/2024,TARGET T-2201,82.33,Merchandise
12/22/2024,12/22/2024,SAFEWAY #1834,50.43,Supermarkets
12/23/2024,12/23/2024,DELTA AIR LINES,539.62,Travel/Entertainment
12/28/2024,12/28/2024,TARGET T-2201,54.78,Merchandise
01/02/2025,01/02/2025,COMCAST CABLE,79.00,Services
01/06/2025,01/06/2025,DOORDASH*THAI,28.99,Restaurants
01/07/2025,01/07/2025,DOORDASH*THAI,45.73,Restaurants
01/09/2025,01/09/2025,COMCAST CABLE,79.00,Services
01/09/2025,01/09/2025,TARGET T-2201,40.76,Merchandise
01/10/2025,01/10/2025,TARGET T-2201,160.88,Merchandise
01/12/2025,01/12/2025,SAFEWAY #1834,79.34,Supermarkets
01/14/2025,01/14/2025,TARGET T-2201,139.43,Merchandise
01/15/2025,01/15/2025,DELTA AIR LINES,277.53,Travel/Entertainment
01/15/2025,01/15/2025,PAYMENT - THANK YOU,-464.65,Payment
01/16/2025,01/16/2025,SAFEWAY #1834,78.54,Supermarkets
01/18/2025,01/18/2025,SAFEWAY #1834,52.42,Supermarkets
01/21/2025,01/21/2025,COMCAST CABLE,79.00,Services
01/21/2025,01/21/2025,SAFEWAY #1834,102.37,Supermarkets
01/22/2025,01/22/2025,TARGET T-2201,86.90,Merchandise
01/24/2025,01/24/2025,DOORDASH*THAI,44.54,Restaurants
01/25/2025,01/25/2025,DOORDASH*THAI,44.12,Restaurants
01/26/2025,01/26/2025,DELTA AIR LINES,621.99,Travel/Entertainment
02/05/2025,02/05/2025,TARGET T-2201,168.17,Merchandise
02/09/2025,02/09/2025,DELTA AIR LINES,503.93,Travel/Entertainment
02/12/2025,02/12/2025,COMCAST CABLE,79.00,Services
02/15/2025,02/15/2025,PAYMENT - THANK YOU,-613.05,Payment
02/15/2025,02/15/2025,TARGET T-2201,209.27,Merchandise
02/16/2025,02/16/2025,DOORDASH*THAI,35.98,Restaurants
02/16/2025,02/16/2025,TARGET T-2201,87.40,Merchandise
02/22/2025,02/22/2025,DELTA AIR LINES,296.63,Travel/Entertainment
02/24/2025,02/24/2025,DOORDASH*THAI,24.33,Restaurants
02/25/2025,02/25/2025,TARGET T-2201,124.17,Merchandise
02/26/2025,02/26/2025,SAFEWAY #1834,102.86,Supermarkets
02/27/2025,02/27/2025,COMCAST CABLE,79.00,Services
03/02/2025,03/02/2025,TARGET T-2201,36.20,Merchandise
03/08/2025,03/08/2025,DOORDASH*THAI,36.32,Restaurants
03/10/2025,03/10/2025,TARGET T-2201,182.34,Merchandise
03/11/2025,03/11/2025,DOORDASH*THAI,31.43,Restaurants
03/14/2025,03/14/2025,DOORDASH*THAI,35.45,Restaurants
03/15/2025,03/15/2025,PAYMENT - THANK YOU,-728.65,Payment
03/16/2025,03/16/2025,SAFEWAY #1834,35.23,Supermarkets
03/17/2025,03/17/2025,DELTA AIR LINES,562.41,Travel/Entertainment
03/21/2025,03/21/2025,DELTA AIR LINES,447.93,Travel/Entertainment
03/22/2025,03/22/2025,COMCAST CABLE,79.00,Services
03/24/2025,03/24/2025,SAFEWAY #1834,102.91,Supermarkets
03/26/2025,03/26/2025,DELTA AIR LINES,613.60,Travel/Entertainment
04/03/2025,04/03/2025,SAFEWAY #1834,90.76,Supermarkets
04/07/2025,04/07/2025,COMCAST CABLE,79.00,Services
04/07/2025,04/07/2025,DELTA AIR LINES,407.45,Travel/Entertainment
04/07/2025,04/07/2025,DELTA AIR LINES,424.17,Travel/Entertainment
04/09/2025,04/09/2025,SAFEWAY #1834,86.70,Supermarkets
04/15/2025,04/15/2025,PAYMENT - THANK YOU,-735.61,Payment
04/22/2025,04/22/2025,TARGET T-2201,191.31,Merchandise
04/24/2025,04/24/2025,DELTA AIR LINES,566.07,Travel/Entertainment
04/25/2025,04/25/2025,DOORDASH*THAI,30.65,Restaurants
04/26/2025,04/26/2025,COMCAST CABLE,79.00,Services
04/28/2025,04/28/2025,DOORDASH*THAI,24.54,Restaurants
05/02/2025,05/02/2025,DOORDASH*THAI,31.56,Restaurants
05/05/2025,05/05/2025,DOORDASH*THAI,37.61,Restaurants
05/06/2025,05/06/2025,TARGET T-2201,179.75,Merchandise
05/08/2025,05/08/2025,DOORDASH*THAI,41.16,Restaurants
05/14/2025,05/14/2025,DELTA AIR LINES,639.98,Travel/Entertainment
05/15/2025,05/15/2025,DELTA AIR LINES,352.48,Travel/Entertainment
05/15/2025,05/15/2025,PAYMENT - THANK YOU,-737.97,Payment
05/16/2025,05/16/2025,COMCAST CABLE,79.00,Services
05/16/2025,05/16/2025,DOORDASH*THAI,31.81,Restaurants
05/18/2025,05/18/2025,SAFEWAY #1834,45.07,Supermarkets
05/20/2025,05/20/2025,COMCAST CABLE,79.00,Services
05/22/2025,05/22/2025,DELTA AIR LINES,316.54,Travel/Entertainment
05/23/2025,05/23/2025,DELTA AIR LINES,438.78,Travel/Entertainment
06/07/2025,06/07/2025,TARGET T-2201,156.45,Merchandise
06/11/2025,06/11/2025,DELTA AIR LINES,223.45,Travel/Entertainment
06/15/2025,06/15/2025,PAYMENT - THANK YOU,-637.27,Payment
06/17/2025,06/17/2025,COMCAST CABLE,79.00,Services
06/21/2025,06/21/2025,SAFEWAY #1834,37.43,Supermarkets
06/21/2025,06/21/2025,SAFEWAY #1834,65.63,Supermarkets
06/22/2025,06/22/2025,DELTA AIR LINES,348.43,Travel/Entertainment
06/22/2025,06/22/2025,DOORDASH*THAI,38.62,Restaurants
06/25/2025,06/25/2025,COMCAST CABLE,79.00,Services
06/26/2025,06/26/2025,COMCAST CABLE,79.00,Services
07/02/2025,07/02/2025,DELTA AIR LINES,363.48,Travel/Entertainment
07/05/2025,07/05/2025,DELTA AIR LINES,449.77,Travel/Entertainment
07/07/2025,07/07/2025,TARGET T-2201,80.25,Merchandise
07/07/2025,07/07/2025,TARGET T-2201,144.37,Merchandise
07/09/2025,07/09/2025,COMCAST CABLE,79.00,Services
07/10/2025,07/10/2025,SAFEWAY #1834,71.99,Supermarkets
07/11/2025,07/11/2025,COMCAST CABLE,79.00,Services
07/14/2025,07/14/2025,SAFEWAY #1834,56.38,Supermarkets
07/15/2025,07/15/2025,PAYMENT - THANK YOU,-677.15,Payment
07/21/2025,07/21/2025,DELTA AIR LINES,220.29,Travel/Entertainment
07/26/2025,07/26/2025,TARGET T-2201,42.41,Merchandise
07/27/2025,07/27/2025,COMCAST CABLE,79.00,Services
07/27/2025,07/27/2025,DOORDASH*THAI,26.10,Restaurants
08/01/2025,08/01/2025,SAFEWAY #1834,38.94,Supermarkets
08/03/2025,08/03/2025,COMCAST CABLE,79.00,Services
08/04/2025,08/04/2025,TARGET T-2201,146.09,Merchandise
08/12/2025,08/12/2025,DELTA AIR LINES,581.08,Travel/Entertainment
08/13/2025,08/13/2025,SAFEWAY #1834,60.53,Supermarkets
08/15/2025,08/15/2025,PAYMENT - THANK YOU,-469.35,Payment
08/18/2025,08/18/2025,SAFEWAY #1834,83.79,Supermarkets
08/20/2025,08/20/2025,COMCAST CABLE,79.00,Services
08/20/2025,08/20/2025,COMCAST CABLE,79.00,Services
08/21/2025,08/21/2025,TARGET T-2201,164.91,Merchandise
08/22/2025,08/22/2025,COMCAST CABLE,79.00,Services
08/25/2025,08/25/2025,TARGET T-2201,39.12,Merchandise
08/26/2025,08/26/2025,DOORDASH*THAI,32.02,Restaurants
08/27/2025,08/27/2025,SAFEWAY #1834,113.32,Supermarkets
08/28/2025,08/28/2025,TARGET T-2201,27.03,Merchandise
09/01/2025,09/01/2025,DELTA AIR LINES,492.78,Travel/Entertainment
09/13/2025,09/13/2025,DELTA AIR LINES,385.38,Travel/Entertainment
09/14/2025,09/14/2025,DOORDASH*THAI,33.86,Restaurants
09/14/2025,09/14/2025,SAFEWAY #1834,37.91,Supermarkets
09/15/2025,09/15/2025,PAYMENT - THANK YOU,-868.86,Payment
09/16/2025,09/16/2025,COMCAST CABLE,79.00,Services
09/18/2025,09/18/2025,SAFEWAY #1834,95.36,Supermarkets
09/19/2025,09/19/2025,DELTA AIR LINES,500.03,Travel/Entertainment
09/20/2025,09/20/2025,DELTA AIR LINES,452.31,Travel/Entertainment
09/27/2025,09/27/2025,TARGET T-2201,42.58,Merchandise
09/28/2025,09/28/2025,SAFEWAY #1834,60.67,Supermarkets
10/01/2025,10/01/2025,DOORDASH*THAI,18.26,Restaurants
10/02/2025,10/02/2025,DELTA AIR LINES,348.30,Travel/Entertainment
10/07/2025,10/07/2025,COMCAST CABLE,79.00,Services
10/07/2025,10/07/2025,DOORDASH*THAI,43.08,Restaurants
10/15/2025,10/15/2025,PAYMENT - THANK YOU,-779.67,Payment
10/16/2025,10/16/2025,SAFEWAY #1834,100.44,Supermarkets
10/16/2025,10/16/2025,TARGET T-2201,23.38,Merchandise
10/18/2025,10/18/2025,SAFEWAY #1834,43.67,Supermarkets
10/21/2025,10/21/2025,DOORDASH*THAI,18.43,Restaurants
10/22/2025,10/22/2025,DOORDASH*THAI,21.41,Restaurants
10/24/2025,10/24/2025,DELTA AIR LINES,508.23,Travel/Entertainment
10/24/2025,10/24/2025,DELTA AIR LINES,522.34,Travel/Entertainment
10/24/2025,10/24/2025,TARGET T-2201,128.11,Merchandise
10/28/2025,10/28/2025,DELTA AIR LINES,246.61,Travel/Entertainment
11/01/2025,11/01/2025,COMCAST CABLE,79.00,Services
11/09/2025,11/09/2025,SAFEWAY #1834,112.65,Supermarkets
11/13/2025,11/13/2025,TARGET T-2201,79.10,Merchandise
11/15/2025,11/15/2025,PAYMENT - THANK YOU,-583.78,Payment
11/16/2025,11/16/2025,SAFEWAY #1834,74.15,Supermarkets
11/20/2025,11/20/2025,DELTA AIR LINES,207.50,Travel/Entertainment
11/21/2025,11/21/2025,SAFEWAY #1834,82.39,Supermarkets
11/23/2025,11/23/2025,DOORDASH*THAI,18.90,Restaurants
11/28/2025,11/28/2025,DELTA AIR LINES,564.06,Travel/Entertainment
12/02/2025,12/02/2025,COMCAST CABLE,79.00,Services
12/04/2025,12/04/2025,SAFEWAY #1834,65.88,Supermarkets
12/05/2025,12/05/2025,SAFEWAY #1834,117.14,Supermarkets
12/08/2025,12/08/2025,DELTA AIR LINES,353.27,Travel/Entertainment
12/09/2025,12/09/2025,DOORDASH*THAI,39.97,Restaurants
12/15/2025,12/15/2025,PAYMENT - THANK YOU,-785.72,Payment
12/16/2025,12/16/2025,DOORDASH*THAI,28.80,Restaurants
12/16/2025,12/16/2025,SAFEWAY #1834,92.53,Supermarkets
12/19/2025,12/19/2025,DELTA AIR LINES,377.14,Travel/Entertainment
12/19/2025,12/19/2025,DOORDASH*THAI,27.35,Restaurants
12/21/2025,12/21/2025,COMCAST CABLE,79.00,Services
12/21/2025,12/21/2025,SAFEWAY #1834,48.94,Supermarkets
12/22/2025,12/22/2025,DELTA AIR LINES,353.05,Travel/Entertainment
12/26/2025,12/26/2025,DOORDASH*THAI,30.68,Restaurants
12/27/2025,12/27/2025,COMCAST CABLE,79.00,Services
12/27/2025,12/27/2025,TARGET T-2201,48.71,Merchandise
01/09/2026,01/09/2026,DOORDASH*THAI,29.83,Restaurants
01/09/2026,01/09/2026,TARGET T-2201,205.32,Merchandise
01/10/2026,01/10/2026,COMCAST CABLE,79.00,Services
01/12/2026,01/12/2026,DELTA AIR LINES,425.90,Travel/Entertainment
01/15/2026,01/15/2026,PAYMENT - THANK YOU,-865.86,Payment
01/18/2026,01/18/2026,DELTA AIR LINES,434.69,Travel/Entertainment
01/19/2026,01/19/2026,DOORDASH*THAI,43.78,Restaurants
01/23/2026,01/23/2026,SAFEWAY #1834,35.14,Supermarkets
01/25/2026,01/25/2026,DOORDASH*THAI,42.85,Restaurants
01/26/2026,01/26/2026,DELTA AIR LINES,355.60,Travel/Entertainment
01/26/2026,01/26/2026,DELTA AIR LINES,525.08,Travel/Entertainment
01/26/2026,01/26/2026,SAFEWAY #1834,73.36,Supermarkets
01/26/2026,01/26/2026,TARGET T-2201,173.34,Merchandise
02/01/2026,02/01/2026,DOORDASH*THAI,40.17,Restaurants
02/03/2026,02/03/2026,COMCAST CABLE,79.00,Services
02/03/2026,02/03/2026,DELTA AIR LINES,263.12,Travel/Entertainment
02/07/2026,02/07/2026,TARGET T-2201,55.94,Merchandise
02/09/2026,02/09/2026,DOORDASH*THAI,34.42,Restaurants
02/10/2026,02/10/2026,SAFEWAY #1834,86.59,Supermarkets
02/15/2026,02/15/2026,PAYMENT - THANK YOU,-688.93,Payment
02/16/2026,02/16/2026,TARGET T-2201,116.17,Merchandise
02/18/2026,02/18/2026,COMCAST CABLE,79.00,Services
02/19/2026,02/19/2026,COMCAST CABLE,79.00,Services
02/22/2026,02/22/2026,SAFEWAY #1834,68.62,Supermarkets
02/23/2026,02/23/2026,DELTA AIR LINES,313.31,Travel/Entertainment
02/26/2026,02/26/2026,COMCAST CABLE,79.00,Services
02/27/2026,02/27/2026,TARGET T-2201,119.15,Merchandise
03/01/2026,03/01/2026,COMCAST CABLE,79.00,Services
03/02/2026,03/02/2026,SAFEWAY #1834,113.42,Supermarkets
03/07/2026,03/07/2026,COMCAST CABLE,79.00,Services
03/09/2026,03/09/2026,COMCAST CABLE,79.00,Services
03/09/2026,03/09/2026,DELTA AIR LINES,568.12,Travel/Entertainment
03/09/2026,03/09/2026,TARGET T-2201,100.93,Merchandise
03/09/2026,03/09/2026,TARGET T-2201,195.84,Merchandise
03/11/2026,03/11/2026,DELTA AIR LINES,272.45,Travel/Entertainment
03/11/2026,03/11/2026,DOORDASH*THAI,34.72,Restaurants
03/12/2026,03/12/2026,DOORDASH*THAI,35.72,Restaurants
03/12/2026,03/12/2026,DOORDASH*THAI,42.26,Restaurants
03/13/2026,03/13/2026,SAFEWAY #1834,101.27,Supermarkets
03/15/2026,03/15/2026,PAYMENT - THANK YOU,-490.37,Payment
03/15/2026,03/15/2026,TARGET T-2201,165.78,Merchandise
03/19/2026,03/19/2026,TARGET T-2201,127.76,Merchandise
03/26/2026,03/26/2026,DOORDASH*THAI,20.29,Restaurants
03/28/2026,03/28/2026,SAFEWAY #1834,47.67,Supermarkets
04/01/2026,04/01/2026,SAFEWAY #1834,39.33,Supermarkets
04/03/2026,04/03/2026,COMCAST CABLE,79.00,Services
04/03/2026,04/03/2026,COMCAST CABLE,79.00,Services
04/03/2026,04/03/2026,DOORDASH*THAI,42.16,Restaurants
04/04/2026,04/04/2026,COMCAST CABLE,79.00,Services
04/06/2026,04/06/2026,TARGET T-2201,90.47,Merchandise
04/06/2026,04/06/2026,TARGET T-2201,105.19,Merchandise
04/08/2026,04/08/2026,TARGET T-2201,52.70,Merchandise
04/08/2026,04/08/2026,TARGET T-2201,208.43,Merchandise
04/12/2026,04/12/2026,DELTA AIR LINES,207.27,Travel/Entertainment
04/15/2026,04/15/2026,PAYMENT - THANK YOU,-528.95,Payment
04/16/2026,04/16/2026,DOORDASH*THAI,44.52,Restaurants
04/18/2026,04/18/2026,DELTA AIR LINES,596.10,Travel/Entertainment
04/19/2026,04/19/2026,COMCAST CABLE,79.00,Services
04/27/2026,04/27/2026,DELTA AIR LINES,602.79,Travel/Entertainment
04/28/2026,04/28/2026,DOORDASH*THAI,37.76,Restaurants
05/02/2026,05/02/2026,SAFEWAY #1834,43.59,Supermarkets
05/05/2026,05/05/2026,COMCAST CABLE,79.00,Services
05/07/2026,05/07/2026,SAFEWAY #1834,92.54,Supermarkets
05/09/2026,05/09/2026,DOORDASH*THAI,28.92,Restaurants
05/10/2026,05/10/2026,SAFEWAY #1834,85.13,Supermarkets
05/11/2026,05/11/2026,SAFEWAY #1834,99.17,Supermarkets
05/12/2026,05/12/2026,DOORDASH*THAI,31.48,Restaurants
05/15/2026,05/15/2026,COMCAST CABLE,79.00,Services
05/15/2026,05/15/2026,PAYMENT - THANK YOU,-866.99,Payment
05/15/2026,05/15/2026,TARGET T-2201,156.27,Merchandise
05/16/2026,05/16/2026,DOORDASH*THAI,27.07,Restaurants
05/25/2026,05/25/2026,DOORDASH*THAI,36.27,Restaurants
05/26/2026,05/26/2026,DELTA AIR LINES,196.57,Travel/Entertainment
05/27/2026,05/27/2026,DELTA AIR LINES,281.45,Travel/Entertainment
06/04/2026,06/04/2026,COMCAST CABLE,79.00,Services
06/05/2026,06/05/2026,COMCAST CABLE,79.00,Services
06/06/2026,06/06/2026,TARGET T-2201,155.61,Merchandise
06/09/2026,06/09/2026,DELTA AIR LINES,372.40,Travel/Entertainment
06/13/2026,06/13/2026,SAFEWAY #1834,106.59,Supermarkets
06/15/2026,06/15/2026,DELTA AIR LINES,580.53,Travel/Entertainment
06/15/2026,06/15/2026,DOORDASH*THAI,45.22,Restaurants
06/15/2026,06/15/2026,PAYMENT - THANK YOU,-523.38,Payment
06/15/2026,06/15/2026,SAFEWAY #1834,116.43,Supermarkets
06/24/2026,06/24/2026,SAFEWAY #1834,46.88,Supermarkets
06/27/2026,06/27/2026,COMCAST CABLE,79.00,Services
07/04/2026,07/04/2026,COMCAST CABLE,79.00,Services
07/04/2026,07/04/2026,TARGET T-2201,68.98,Merchandise
07/07/2026,07/07/2026,COMCAST CABLE,79.00,Services
07/07/2026,07/07/2026,TARGET T-2201,204.43,Merchandise
07/08/2026,07/08/2026,DELTA AIR LINES,224.88,Travel/Entertainment
07/09/2026,07/09/2026,DOORDASH*THAI,31.75,Restaurants
07/09/2026,07/09/2026,SAFEWAY #1834,83.53,Supermarkets
07/10/2026,07/10/2026,DELTA AIR LINES,371.19,Travel/Entertainment
07/11/2026,07/11/2026,DOORDASH*THAI,30.77,Restaurants
07/11/2026,07/11/2026,DOORDASH*THAI,40.52,Restaurants
07/14/2026,07/14/2026,TARGET T-2201,208.29,Merchandise
07/15/2026,07/15/2026,PAYMENT - THANK YOU,-481.10,Payment
07/17/2026,07/17/2026,COMCAST CABLE,79.00,Services
07/26/2026,07/26/2026,COMCAST CABLE,79.00,Services
08/01/2026,08/01/2026,SAFEWAY #1834,72.58,Supermarkets
08/02/2026,08/02/2026,DELTA AIR LINES,589.09,Travel/Entertainment
08/03/2026,08/03/2026,SAFEWAY #1834,118.18,Supermarkets
08/07/2026,08/07/2026,COMCAST CABLE,79.00,Services
08/07/2026,08/07/2026,COMCAST CABLE,79.00,Services
08/08/2026,08/08/2026,DOORDASH*THAI,18.05,Restaurants
08/09/2026,08/09/2026,DOORDASH*THAI,26.02,Restaurants
08/09/2026,08/09/2026,SAFEWAY #1834,63.98,Supermarkets
08/09/2026,08/09/2026,TARGET T-2201,166.38,Merchandise
08/10/2026,08/10/2026,COMCAST CABLE,79.00,Services
08/12/2026,08/12/2026,TARGET T-2201,53.37,Merchandise
08/13/2026,08/13/2026,PAYMENT - THANK YOU,-765.42,Payment
